id,name
379,Sea Fibre Networks
380,Seabank
485,Seabank Power Ltd
381,SES Water
506,Severn Trent (Chester area only)
382,Severn Trent Water
383,SGN
384,Shell
475,Shell (St Fergus to Mossmorran)
558,Shell NOP Pipelines
557,Shell OP Pipelines
461,Shropshire Council
385,Sky UK Limited
386,Solihull MBC (Drainage&Streetlight)
555,Solihull MBC (Drainage)
450,Somerset County Council
502,Sota
387,South East Water
388,South Staffordshire Water
389,South West Water
390,Southern Gas Networks
391,Southern Water
393,SSE (North)
394,SSE (Peterhead Power Station)
392,SSE (South)
564,SSE Enterprise Telecoms
395,SSE telecoms
565,SSE Utility Solutions Limited
451,Staffordshire County Council
396,Stoke on Trent City Council
452,Suffolk County Council
453,Surrey County Council
397,Sutton and East Surrey Water
398,Tata (c/-McNicholas)
521,Tata Communications
399,Telenet
401,TELENT (Teliasonera)
400,Telford and Wrekin Borough Council
402,Thames Water
474,Total (Colnbrook & Colwick Pipelines)
403,Total UK
404,Trafficmaster
405,Transmission Capital
406,UK Power Networks
407,Uniper
408,United Utilities
409,Utilicom Limited
410,Utility assets Ltd
411,Vattenfall
412,Veolia ES SELCHP Limited
563,Veolia ES Sheffield Ltd
413,Verizon Business
414,Virgin Media
415,Vodafone
416,Vtesse Networks
417,Wales and West Utilities
418,Warwickshire CC (St Lighting)
419,Warwickshire CC (Traffic Signals)
454,Warwickshire County Council
420,Welsh Water
421,Wessex Water
492,West Berkshire Council
455,West Sussex County Council
430,Western Link (Prysmian)
422,Western Power Distribution
468,Westminster City Council
423,Wiltshire County
494,Windsor and Maidenhead Royal Borough Council
424,Wingas Storage UK Ltd
493,Wokingham District Council (Structures)
460,Worcester City Council
548,Worcestershire County
426,Worcestershire County (Street Lighting)
427,Worcestershire County (Traffic Signals)
456,Worcestershire County Council
425,Worcestershire County Council2
428,Yorkshire Water
473,Zayo Group UK Ltd c/o JSM Group Ltd
566,Northumbrian Water or Essex & Suffolk Water
567,University of Cambridge Granta Backbone Network
568,Jurassic Fibre Ltd
569,Heathrow Airport LTD
570,Last mile
0,TOPO PDF
571,Neos Networks
